run_id,filename,encode_time,decode_time,original_bits,compressed_bits,compression_ratio
20251218_235633,Samp1.bin,4.553794860839844e-05,2.694129943847656e-05,525824,525824,1.0
20251218_235633,Samp2.bin,3.5762786865234375e-06,2.86102294921875e-06,525824,525824,1.0
20251218_235633,Samp3.bin,2.1457672119140625e-06,1.9073486328125e-06,525824,525824,1.0
20251218_235633,Samp4.bin,2.1457672119140625e-06,1.9073486328125e-06,525824,525824,1.0
20251231_224139,Samp1.bin,2.1459977626800537,0.1889631748199463,525824,441265,0.8391876369279455
20251231_224139,Samp2.bin,2.760331392288208,0.16027188301086426,525824,418853,0.796565010345667
20251231_224139,Samp3.bin,4.184079170227052,0.6278688907623291,525824,784086,1.4911567368549172
20251231_224139,Samp4.bin,3.3044812679290767,0.3763847351074219,525824,688978,1.3102825279941577
20251231_224621,Samp1.bin,2.409078598022461,0.1978332996368408,525824,434867,0.8270200675511198
20251231_224621,Samp2.bin,3.317795991897583,0.17531418800354004,525824,418826,0.7965136623661149
20251231_224621,Samp3.bin,5.006913185119629,0.6563923358917236,525824,782274,1.4877107168938657
20251231_224621,Samp4.bin,3.911095380783081,0.399932861328125,525824,688951,1.3102311800146056
20251231_224711,Samp1.bin,2.434832572937012,0.1972031593322754,525824,434867,0.8270200675511198
20251231_224711,Samp2.bin,3.3074605464935303,0.17485308647155762,525824,418826,0.7965136623661149
20251231_224711,Samp3.bin,4.857859611511231,0.6466541290283203,525824,782274,1.4877107168938657
20251231_224711,Samp4.bin,3.8603088855743413,0.4036622047424317,525824,688951,1.3102311800146056
20251231_224801,Samp1.bin,7.102101802825928,0.16709208488464355,525824,361487,0.6874676697906524
20251231_224801,Samp2.bin,11.234763145446776,0.1892342567443848,525824,399662,0.7600680075462513
20251231_224801,Samp3.bin,16.137765407562256,0.6897821426391602,525824,850227,1.6169421707643623
20251231_224801,Samp4.bin,12.591308355331421,0.40973711013793945,525824,643046,1.2229301058909445
20251231_225008,Samp1.bin,7.2496070861816415,0.20087385177612305,525824,361487,0.6874676697906524
20251231_225008,Samp2.bin,12.170435667037964,0.19732308387756348,525824,399662,0.7600680075462513
20251231_225008,Samp3.bin,17.541598081588745,0.7121026515960693,525824,850227,1.6169421707643623
20251231_225008,Samp4.bin,12.58771800994873,0.4153666496276856,525824,643046,1.2229301058909445
20251231_225733,Samp1.bin,7.116513729095459,0.17250967025756836,525824,361487,0.6874676697906524
20251231_225733,Samp2.bin,11.43822979927063,0.19964838027954104,525824,399662,0.7600680075462513
20251231_225733,Samp3.bin,16.09204626083374,0.6824474334716797,525824,850227,1.6169421707643623
20251231_225733,Samp4.bin,12.239022731781006,0.4008626937866211,525824,643046,1.2229301058909445
20260101_191647,Samp1.bin,4.094093084335326,0.20890140533447266,525824,389511,0.7407630690116845
20260101_191647,Samp2.bin,6.4925479888916025,0.2603943347930908,525824,404515,0.7692973314264849
20260101_191647,Samp3.bin,7.967533588409424,0.7263469696044922,525824,852402,1.6210785357838364
20260101_191647,Samp4.bin,6.5394344329833975,0.4624838829040527,525824,690596,1.3133596032132424
20260101_191814,Samp1.bin,3.631554126739502,0.18552446365356445,525824,399032,0.7588698880233691
20260101_191814,Samp2.bin,5.758054256439209,0.19250059127807614,525824,417192,0.793406158714703
20260101_191814,Samp3.bin,7.969614744186401,0.7834951877593994,525824,888168,1.6890974926971762
20260101_191814,Samp4.bin,6.61762547492981,0.5348501205444336,525824,715073,1.3599093993427458
20260101_191848,Samp1.bin,3.8365755081176762,0.197465181350708,525824,411007,0.7816436678432327
20260101_191848,Samp2.bin,6.092400550842285,0.21642136573791504,525824,430770,0.8192284870983447
20260101_191848,Samp3.bin,7.891189575195312,0.77323317527771,525824,922902,1.7551538157254138
20260101_191848,Samp4.bin,6.53821587562561,0.5395584106445312,525824,739039,1.4054873874148004
20260101_195900,Samp1.bin,0.39522242546081543,0.32539916038513184,525824,428294,0.8145196871957157
20260101_195900,Samp2.bin,1.8614954948425293,0.20029664039611816,525824,403077,0.7665625760710808
20260101_195900,Samp3.bin,0.6108927726745605,1.3930692672729492,525824,960264,1.8262080087633885
20260101_195900,Samp4.bin,0.6504120826721191,1.0358166694641113,525824,825507,1.56993024281889
20260101_195923,Samp1.bin,0.3426511287689209,0.21723151206970215,525824,392312,0.746089946445959
20260101_195923,Samp2.bin,1.4514296054840088,0.22636008262634277,525824,430329,0.8183898034323271
20260101_195923,Samp3.bin,0.5274665355682373,1.3942220211029053,525824,928710,1.7661993366601754
20260101_195923,Samp4.bin,0.8294861316680908,0.5401186943054199,525824,672520,1.2789830817916261
20260101_210515,Samp1.bin,0.32396435737609863,0.2231006622314453,525824,368905,0.701575051728335
20260101_210515,Samp2.bin,1.6113154888153076,0.2675185203552246,525824,415724,0.7906143500486855
20260101_210515,Samp3.bin,0.36299800872802734,1.2626419067382812,525824,912775,1.7358945198393378
20260101_210515,Samp4.bin,0.4739964008331299,0.42232537269592285,525824,648820,1.2339109664070107
20260101_210528,Samp1.bin,0.3996884822845459,0.2673606872558594,525824,389552,0.7408410418695229
20260101_210528,Samp2.bin,2.2643837928771973,0.18446969985961914,525824,390172,0.7420201436222006
20260101_210528,Samp3.bin,0.43065881729125977,1.3462505340576172,525824,959582,1.8249109968354431
20260101_210528,Samp4.bin,0.36832284927368164,0.8045790195465088,525824,767362,1.4593514179649465
20260101_210543,Samp1.bin,0.31254005432128906,0.3556027412414551,525824,436805,0.8307057114167478
20260101_210543,Samp2.bin,0.6467282772064209,0.4464390277862549,525824,499283,0.9495249361002921
20260101_210543,Samp3.bin,0.4630250930786133,1.6012940406799316,525824,999146,1.900152902872444
20260101_210543,Samp4.bin,0.4513430595397949,1.2993409633636475,525824,921430,1.7523543999513145
20260101_210554,Samp1.bin,0.3123605251312256,0.4234471321105957,525824,481886,0.9164397212755598
20260101_210554,Samp2.bin,0.4899566173553467,0.34833717346191406,525824,491672,0.9350505111976631
20260101_210554,Samp3.bin,0.4679226875305176,1.6105029582977295,525824,1000166,1.902092715433301
20260101_210554,Samp4.bin,0.4786560535430908,1.5114264488220215,525824,988116,1.8791763023369037
20260101_210922,Samp1.bin,1.3195111751556396,0.24397921562194824,525824,418386,0.7956768804771178
20260101_210922,Samp2.bin,17.4984712600708,0.20563578605651855,525824,416363,0.7918295855647517
20260101_210922,Samp3.bin,0.6965813636779785,0.7608699798583984,525824,910896,1.7323210808179164
20260101_210922,Samp4.bin,2.1073415279388428,0.4690513610839844,525824,716147,1.361951907862707
